101,Margherita Pizza,320.00
102,Pepperoni Pizza,380.00
103,Four Cheese Pizza,420.00
104,Truffle Mushroom Pizza,450.00
201,Spaghetti Bolognese,300.00
202,Spaghetti Carbonara,310.00
203,Lasagna Al Forno,350.00
204,Fettuccine Alfredo,330.00
301,Chicken Parmigiana,400.00
302,Osso Buco,600.00
303,Pollo alla Cacciatora,380.00
401,Caprese Salad,250.00
402,Antipasto Platter,420.00
403,Caesar Salad,270.00
501,Minestrone Soup,200.00
502,Tomato Basil Soup,180.00
601,Tiramisu,190.00
602,Panna Cotta,170.00
603,Gelato (2 scoops),160.00
701,Espresso,120.00
702,Cappuccino,140.00
703,Limoncello,200.00
989,Cheescake,550.00
1000,Cheesecake,750.00
